employeeID,firstName,lastName,birthDate
1,Priya,Mukherjee,1983-10-20
2,Argha,Roy,1985-04-15
3,Ranit,Dutta,1985-03-31
4,Pankaj,Roy,1986-05-05
5,Sandip,Ghosh,1998-10-05
6,Tanmoy,Chatterjee,1997-03-18
7,Anjali,Chatterjee,2001-10-30
8,Sourav,Pal,1987-10-09
9,Sourav,Chatterjee,2001-12-18
10,Priya,Chatterjee,1988-05-23
11,Sneha,Bose,2000-03-25
12,Tanmoy,Das,1996-02-08
13,Rahul,Sarkar,1986-02-14
14,Mousumi,Bose,1997-03-22
15,Sourav,Sharma,2002-03-15
16,Anjali,Chakraborty,2002-01-21
17,Anjali,Pal,1999-11-29
18,Sayan,Chatterjee,1983-09-16
19,Niladri,Das,1989-11-22
20,Priya,Das,1992-04-30
21,Ranit,Sharma,1992-12-12
22,Pankaj,Mitra,2000-07-06
23,Niladri,Pal,2002-03-21
24,Sourav,Sharma,1985-01-28
25,Niladri,Banerjee,1992-01-07
26,Sourav,Bose,1996-06-15
27,Sourav,Bose,1981-11-12
28,Vikram,Sharma,1989-10-20
29,Anjali,Banerjee,1991-02-07
30,Priya,Bose,1981-06-12
31,Vikram,Dutta,1995-08-21
32,Subhajit,Sarkar,1985-04-07
33,Ranit,Sen,1995-09-23
34,Tanmoy,Chakraborty,1999-03-17
35,Pankaj,Mukherjee,1986-03-31
